allah	Tuhan Yang Maha Esa
alif	Huruf yang pertama dalam susuna tulis Melayu
aba	Bapak
abar	Kendur
abrak	Satu jenis batu seperti keadaan cermin tetapi boleh digulung
ab'ad	Pekerjaan sunat yang besar
abang	Saudara tua
abu	Baki yang hangus
atap	Bubung rumah
atau	Salah satu
atur	Susun
atung	Berkatung-katung
ajar	Tunjuk
ajak	Jemput yang ikhlas
ajnas	Berbagai-bagai
ajal	Waktu yang ditentukan
aji	Haji
acara	Acara
acar	Sayur yang ditumis
acap	Hapus
acap kali	Selalu
acu	Cetakan kueh
acup	Tenggelam sedikit daripada muka air
acum	Asut
acah	Gerakan seperi menerkam 
aci	Gandaran roda
aci	Saudara perempuan
ahad	Minggu
ahsan 	Lebih bagus
ahmad	Nama Nabi muhammad
ahmar	Merah
ahmak	Bodoh bebal
akhun	Saudara laki-laki
akhbar	Beberapa Perkabran
akhir	Kemudian
akhir al-zaman	Masa penyudahan
akhdar	Hijau
akhi	Saudara ku
ada	Hadir
adakah	Menanyakan ada atau tidak
adalah	Memperihalkan
adanya	Penghabisan kata
adab	Perangai yang baik
adiraja	Diraja
adang	Tahan
adap	Menghadap
adipati	Gelaran pemerintah disebelah tanah jawa
ada pula	Dan juga
adinda 	Adik
adu	Lawan
adun	Campur
aduni	Hiasi
adi	Yang terutama
aduh	Mengeluh
aduhai	Seruan Pilu
adoi	Teriakan sakit
adik	Saudara Muda
azan	Seruan bagi yang semahyang
ara	Kayu besar
iradah	Kehendak
arau	Utas jaring bagi penangkap ikan
arjuna	Nama orang yang gagah
arca	Kota mara
arang	Bekas bakaran yang hitam
arak	Minuman yang memabukkan
arkan 	Rukun-Rukun
aram	Dendam
armada	Pasukan kapal perang
arnab	Kucing belanda
aruah	Roh
aruan	Ikan darat
arah	Anggaran tempat
ari	Hari
ari-ari	Kakak bayi
arit	Gores
aring	Halwa kabung
arik	Bengkok
asa	Harap hati
asad	Singa
asap	Hawa daripada ap
asak	Tekan padat-padat
asal	tempat tinggal
asam	Asam jawa
asmara	Cinta
asu	Anjing
asut	Mengubah fikiran daripada suka jadi benci
asuh	Pelihara anak kecil
asah	Gahar
aswad	Hitam
asai	Memakan diri
asing	Lain
ashad	Tuan-tuan punya
asli	Yang asal betul
atlas	Peta
angsa	Sejenis Itik
angka	Tanda bilangan
angkatan	Pergerakan
angkar	Dedar
angkak	kue berisi daging
angkut	Angkat
angkut-angkut	Sarangulat dari tanah
angkosa	Kosa gajah
angkup	Penjepit 
angkuh	Tiada kuat
angkah	Teragak
angkit	Bangkit
anglo	Dapur
angan-angan	Cita-cita
angin	Udara
angin-angin	Fentilasi Udara
angguk	Mengangguk
anggur	Buah Anggur
anggun	Rupa cantik 
apabila	Tatkala mana
april	Bulan keempat dalam kalender masehi
apak	Bau yang tidak enak
apam	Kueh apam
apung	Mengapung
api	Api
apit	Apitan
apek	Orang tua
akrab	Dekat
akar	Cabang kayu didalam tanah
akas	Cergas: pantas
aksara	Suatu huruf
akmal	Lebih Sempurna
akan	Nanti
aku	Saya
akuan	Mengaku
aki	Datuk
agama	Kepercayaan
agar-agar	Jely
agas	Sejenis nyamuk tapi bukan nyamuk
agak	Sangka
agak-agak	Fikir-fikir
agam	Besar
aguk	Rantai leher
agih	Tiada senonoh
alba	Rempah
alat	Peralatan
alas	Alas
alang	Pak Alang
alang kepalang	Terangkat-angkat
alfa	Tida hadir
al-quran	Kitab suci
al-kisah	Suatu cerita
almari	Lemari
almarhumah	Roh perempuan
alu	Antan bagi lesung
alur	Aluran
alah	Tewas
ali-ali	Tali peluntur
alit	Tali gasing
alir	Jalar
alis	Bulu yang dimata
alik	Ringkasan perkataan balik
alih	Pindah
alih-alih	Tiba-tiba
ama	Mama
amati	Perhatikan
amarah	Kemarahan
aman	Sentosa
amanah	Kepercayaan
ambaru	Penahan tambak
ambai	Penangkap ikan
ambar	Tawar
ambang	Kayu melintang bagi pintu
ambon	Nama pisang
ampas	Sisa pati
ampar	Bentang 
ampu	Mengampu
ampun	Maaf
ampai	Gantungan Baju
amuk	Mengamuk
ammonia	Bahan keras
antah	Beras berantah
anting-anting	Perhiasan telinga
anbia	Nabi-nabi
anta	Engkau laki-laki
anti	Engkau perempuan
antara	Selang sama tengah
anjang	Panjang
antil	Terbuai-buai
anjar	Tali penarik layar
anjak	Kisar
anjang-anjang	Sejenis ikan
anjit	Banyak Ragam
anjing	Sejenis binatang
anda	Sebutan untuk orang yang belum dikenal
andar	Cuma
andang	Dandang
andam 	Berandam/bermake up
ansur	Duluan
anak	Anak
anam-anam	Buah namnam
anum	Nama orang yang muda
anai-anai	Sarang semut
aniaya	Zalim
aneka	Macam-macam
anyabah	Tiada senonoh
awang-awang 	Tak sampai keatas atau kebawah
awak	Kamu
